,count,mean,std,min,25%,50%,75%,max,variance,cv
avg_completion_time,9.0,575.169255209009,1649.8363770258866,0.0,0.002138888888888889,0.8014262246117085,14.256534050179212,4971.775947288453,2721960.0709579033,2.8684363117189875
total_accesses,9.0,737.8888888888889,1138.1696319578691,0.0,13.0,157.0,960.0,3069.0,1295430.111111111,1.5424675030297879
unique_tutorials,9.0,737.4444444444445,1137.3353849141324,0.0,13.0,157.0,960.0,3067.0,1293531.777777778,1.542265852678498
learning_efficiency,9.0,109.80677777777778,208.78522235168953,0.0,0.005,0.222,31.684,487.5,43591.26907244444,1.9013873877095278
exam_attempts,9.0,75.44444444444444,115.18692537687501,0.0,0.0,21.0,106.0,336.0,13268.027777777774,1.526778097778903
max_daily_access,9.0,64.22222222222223,62.60346990738169,0.0,13.0,46.0,96.0,200.0,3919.194444444445,0.9747945141287805
total_weeks_active,9.0,30.11111111111111,52.443885354835324,0.0,1.0,2.0,14.0,130.0,2750.361111111111,1.7416788494225754
avg_exam_score,9.0,54.83888888888888,41.92075602981309,0.0,0.0,71.46,85.05,93.0,1757.349786111111,0.7644348176847693
temporal_consistency_score,9.0,30.123333333333335,33.89355506582335,0.0,0.0,38.02,45.45,100.0,1148.7730749999998,1.1251595130847631
avg_weekly_accesses,9.0,32.06333333333333,30.30233324349793,0.0,13.0,19.62,38.0,93.5,918.2313999999999,0.9450774480766586
std_weekly_accesses,9.0,27.101111111111113,25.17416405982751,0.0,21.09,22.23,22.23,88.01,633.7385361111112,0.9288978579740379
consistency_score,9.0,42.21333333333333,18.42157973681953,0.0,37.14,43.87,54.29,61.05,339.3546,0.43639244480779055
std_exam_score,9.0,13.257777777777777,11.109882737654996,0.0,0.0,14.03,22.52,26.08,123.42949444444444,0.8379898142716641
preferred_hour,9.0,11.333333333333334,6.422616289332565,0.0,9.0,9.0,16.0,21.0,41.25,0.5667014372940498
preferred_day_of_week,9.0,3.6666666666666665,1.8708286933869707,0.0,3.0,4.0,4.0,6.0,3.5,0.5102260072873557
avg_session_duration,9.0,1.231111111111111,1.299244438553081,0.0,0.0,1.0,2.31,3.68,1.6880361111111108,1.0553429555034053
active_days_week,9.0,1.1111111111111112,1.0540925533894598,0.0,0.0,1.0,2.0,3.0,1.1111111111111112,0.9486832980505138
avg_active_days_week,9.0,1.5244444444444443,0.8073740011777552,0.0,1.0,2.0,2.06,2.45,0.6518527777777778,0.5296185138921135
avg_unique_hours_active,9.0,1.5011111111111113,0.7485727159809601,0.0,1.0,1.52,2.0,2.45,0.5603611111111111,0.4986790854055248
std_active_days_week,9.0,1.0,0.5845724933658785,0.0,1.2,1.2,1.2,1.63,0.341725,0.5845724933658785
exam_pass_rate,9.0,0.5444444444444445,0.4288388715797319,0.0,0.0,0.64,0.86,1.0,0.18390277777777778,0.7876632335137932
access_intensity,9.0,0.8888888888888888,0.33333333333333337,0.0,1.0,1.0,1.0,1.0,0.11111111111111112,0.37500000000000006
completed_count,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
completion_rate,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
